time_s,adc_23,adc_21,adc_19,adc_17,adc_15
31.500179767608643,12,11,11,11,10
31.50027322769165,12,11,11,11,10
31.500362396240234,12,11,11,11,11
31.50045585632324,12,11,19,26,77
31.500545740127563,7,10,191,128,6
31.50064849853516,60,28,37,47,48
31.50073456764221,52,10,61,17,12
31.500812292099,5,12,27,28,5
31.500905752182007,27,36,11,8,36
31.500998735427856,18,30,7,20,32
31.501098155975345,110,16,401,9,18
31.50118088722229,50,0,220,7,18
31.50127601623535,40,5,13,11,10
31.5013644695282,1,60,45,20,26
31.50145125389099,17,8,9,34,13
31.501546144485477,15,12,42,9,11
31.50164008140564,28,7,4,51,12
31.501733779907227,34,19,3,10,11
31.5018253326416,15,12,0,116,14
31.50191116333008,12,18,4,11,15
31.50202417373657,37,71,24,11,10
31.50209856033325,20,12,13,22,22
31.50218152999878,10,7,32,8,28
31.502269506454468,39,7,6,15,5
31.502368450164795,0,10,10,21,13
31.502458810806274,64,23,14,15,9
31.50253915786743,7,8,7,18,7
31.502643823623657,73,19,13,8,10
31.50272965431213,9,8,21,17,9
31.50281310081482,5,11,9,8,9
31.50291156768799,14,11,9,13,9
31.50301480293274,7,28,40,0,16
31.503090620040894,23,9,9,9,47
31.503181219100952,9,16,7,6,10
31.50328063964844,10,1,15,11,11
31.50337171554565,31,15,14,9,10
31.50346612930298,13,13,14,14,10
31.503555059432983,10,9,10,15,12
31.5036416053772,11,8,13,3,11
31.50374126434326,8,10,16,11,12
31.503828763961792,13,11,11,11,9
31.50390911102295,9,9,5,13,9
31.50402021408081,14,13,10,4,10
